WORD,MEANING,PART OF SPEECH
a,᛫ per ᛫,P
a,᛫ ( for verbs denotes away ; out ; up ; on ) ᛫ ( for nouns denotes in ; on ; at ) ᛫,PREFIX
aback,᛫ by surprise ᛫ backward ᛫,AV
abaft,᛫ toward or at the stern ᛭ to the rear of ᛫ toward the stern ᛫,AV᛭P
abboten,᛫ an abbess ᛫,N
abbotric,᛫ an abbacy ᛫,N
abbotship,᛫ abbacy ᛫,N
abide,᛫ to act in accordance with ᛫ to remain ᛫ to wait ᛫ to wait for ᛫ to await ᛫ to persist ᛫ to reside ᛫ toface ( in combat etc ) ᛫,V
abiding,᛫ enduring ᛫ continuing ᛫,AJ
abidinghouse,᛫ an almshouse ᛫ a poorhouse ᛫,N
abite,᛫ to bite to death ᛫,V
abode,᛫ a place of residence ᛫ residence ᛫ a stay ᛫ a sojourn ᛫,N
about,᛫ around ᛭ around ᛫ surrounding ᛫ in the vicinity of ᛫ approximately ᛫ regarding ᛫ concerned with ᛫,AV᛭PREP
aboveboard,᛫ transparent ( as in not hidden ) ᛫ legitimate and in the open ᛭ openly and legitimately ᛫,AJ᛭AV
abraid,᛫ to move violently ᛫ to burst forth ᛫ to start up ᛫ to awake ᛫,V
abreast,᛫ to make parallel ᛫ to inform ᛭ informed ᛫ up to speed ᛭ parallel ᛫ alongside ᛫ in touch ᛫ up with ᛫,V᛭AJ᛭P
abreethe,᛫ to degenerate ᛫ to deteriorate ᛫,V
abrirdness,᛫ contrition ᛫ compunction ᛫,N
abroad,᛫ in or to a foreign country ᛫ away from home ᛫ in different directions ᛫,AV
abrothen,᛫ degenerate ᛫,AJ
abrothenness,᛫ degeneracy ᛫,N
abuy,᛫ to suffer a penalty ᛫ to atone ᛫ to pay for something ᛫,V
achar,᛫ ajar ᛫,AV
ache,᛫ a continuous dull pain ᛭ to suffer from a dull pain ᛫ to yearn ᛫,N᛭V
achesoothing,᛫ anodyne ᛫,AJ
ack,᛫ but ᛫ however ᛫ except ᛫,C
ackle,᛫ frightened ᛫ terrified ᛫,AJ
acknow,᛫ to recognize ᛫ to identify ᛫,V
acknowledge,᛫ to recognize something's validity existence presence or standing ᛫,V
acknowledging,᛫ acknowledgement ᛫,N
acornshell,᛫ a stalkless barnacle ᛫,N
acost,᛫ proven ᛫ tried and true ᛫ tested ᛫,AJ
acover,᛫ to regain something ᛫ to recover ᛫ to revive ᛫ to regain consciousness ᛫,V
acovering,᛫ recovery ᛫,N
acre,᛫ an English unit of land area ( 4840 square yards ) ᛫,N
acrechurl,᛫ a farmer of the churl class ᛫ a ploughman of the churl class ᛫,N
acreman,᛫ a husbandman ᛫ a ploughman ᛫ a farmer [ᚹ] ᛫,N
